experiment,epoch,seed,mix_alpha,augmentation,batch_mix,train_loss,train_accuracy,val_loss,val_accuracy
rotationaug_cutmix_alpha0.2,2,42,0.2,rotationaug,cutmix,4.228953349071655,23.041905494825237,3.4135827637585523,52.342111395945004
rotationaug_cutmix_alpha0.2,3,42,0.2,rotationaug,cutmix,3.772473352156911,34.66158714590184,2.6264682345611456,63.458401305057095
rotationaug_cutmix_alpha0.2,4,42,0.2,rotationaug,cutmix,3.3766810636080034,41.85396509138639,2.0645770463763458,69.24959216965742
rotationaug_cutmix_alpha0.2,5,42,0.2,rotationaug,cutmix,3.0656782657548893,45.82658257801685,1.6362670040497327,72.01118620368213
rotationaug_cutmix_alpha0.2,6,42,0.2,rotationaug,cutmix,2.843947210040047,48.17161195525566,1.356215892347026,74.79608482871126
rotationaug_cutmix_alpha0.2,7,42,0.2,rotationaug,cutmix,2.6784539449252693,49.94499259256861,1.1674663256832114,77.28967606618504
rotationaug_cutmix_alpha0.2,8,42,0.2,rotationaug,cutmix,2.5687630875624503,51.06504318002829,1.040752388191401,78.46655791190865
rotationaug_cutmix_alpha0.2,9,42,0.2,rotationaug,cutmix,2.457536911006609,52.406785657409735,0.9250859670276771,79.86483337217432
rotationaug_cutmix_alpha0.2,10,42,0.2,rotationaug,cutmix,2.391873418430345,53.970986621175804,0.8870296358812164,80.3542297832673
rotationaug_cutmix_alpha0.2,11,42,0.2,rotationaug,cutmix,2.324767069332519,54.76711041976384,0.8188400159652237,81.49615474248426
rotationaug_cutmix_alpha0.2,12,42,0.2,rotationaug,cutmix,2.359032741088155,53.686318042803045,0.7874401519554697,81.89233278955955
rotationaug_cutmix_alpha0.2,13,42,0.2,rotationaug,cutmix,2.1531391827578066,58.34428289998798,0.7543141089433614,82.25355395012818
rotationaug_cutmix_alpha0.2,14,42,0.2,rotationaug,cutmix,2.113106163248735,58.140585678501694,0.717862542262863,82.61477511069681
rotationaug_cutmix_alpha0.2,15,42,0.2,rotationaug,cutmix,2.125416466823755,57.98521459837266,0.689292993239383,83.33721743183408
rotationaug_cutmix_alpha0.2,16,42,0.2,rotationaug,cutmix,2.1122780750743306,58.24473499223722,0.680693116868134,83.72174318340713
rotationaug_cutmix_alpha0.2,17,42,0.2,rotationaug,cutmix,2.0948030621951013,58.38336603081802,0.6640860547943844,83.9431367979492
rotationaug_cutmix_alpha0.2,18,42,0.2,rotationaug,cutmix,2.0749207565954952,58.95368506225319,0.6434650881060963,84.11792123048241
rotationaug_cutmix_alpha0.2,19,42,0.2,rotationaug,cutmix,2.067834086210693,58.54735571495122,0.655689960091688,84.15287811698904
rotationaug_cutmix_alpha0.2,20,42,0.2,rotationaug,cutmix,1.9785323940648458,60.40925324421625,0.6303576403732651,84.24609648100676
no_aug_mixup_alpha0.2,1,42,0.2,none,mixup,4.531619721083745,11.18607134489695,3.995337186674226,37.287345607084596
no_aug_mixup_alpha0.2,2,42,0.2,none,mixup,3.8334967630627674,38.14964925520169,2.94237257894784,59.38009787928222
no_aug_mixup_alpha0.2,3,42,0.2,none,mixup,3.1839883325894407,49.53089320678846,2.1150442322104497,67.59496620834304
no_aug_mixup_alpha0.2,4,42,0.2,none,mixup,2.620529446249744,58.46030593148816,1.606087079472654,73.77068282451643
no_aug_mixup_alpha0.2,5,42,0.2,none,mixup,2.259402302269698,63.24218290644281,1.2812025467295436,76.45071079002564
