label,epoch,val_loss,val_accuracy
Mixup | alpha=1.0 | 20 epoch,1,4.244505207401366,22.803542297832674
Mixup | alpha=0.2 | max 40 epoch,33,0.5399074309829565,85.2015847121883
Mixup | alpha=0.2 | max 40 epoch,34,0.5417306947210846,84.73549289209974
Mixup | alpha=0.2 | max 40 epoch,35,0.5302135599531846,85.29480307620601
Mixup | alpha=0.2 | max 40 epoch,36,0.5334055402206114,84.98019109764624
Mixup | alpha=0.2 | max 40 epoch,37,0.5454393362240535,84.74714518760196
Mixup | alpha=0.2 | max 40 epoch,38,0.530205698015806,85.15497553017944
Mixup | alpha=0.2 | max 40 epoch,39,0.542885221966328,85.18993241668609
Mixup | alpha=0.2 | max 40 epoch,40,0.536112304341957,85.07340946166394
Cutmix | alpha=0.2 | max 40 epoch,1,4.23749145509146,24.51642973665812
Cutmix | alpha=0.2 | max 40 epoch,2,3.4137696803685698,52.295502213936146
Cutmix | alpha=0.2 | max 40 epoch,3,2.626620487521173,63.43509671405267
Cutmix | alpha=0.2 | max 40 epoch,4,2.064468517305689,69.2379398741552
Cutmix | alpha=0.2 | max 40 epoch,5,1.6362074356594722,71.99953390817991
Cutmix | alpha=0.2 | max 40 epoch,6,1.3561806370678051,74.83104171521789
Cutmix | alpha=0.2 | max 40 epoch,7,1.167446739521929,77.30132836168725
Cutmix | alpha=0.2 | max 40 epoch,8,1.0406920583729866,78.52481938941972
Cutmix | alpha=0.2 | max 40 epoch,9,0.9250322636872342,79.88813796317875
Cutmix | alpha=0.2 | max 40 epoch,10,0.8870913102976289,80.3542297832673
Cutmix | alpha=0.2 | max 40 epoch,11,0.8188467345935596,81.48450244698205
Cutmix | alpha=0.2 | max 40 epoch,12,0.7872402112235614,81.83407131204848
Cutmix | alpha=0.2 | max 40 epoch,13,0.7542514476540538,82.23024935912375
Cutmix | alpha=0.2 | max 40 epoch,14,0.7177333699826232,82.6031228151946
Cutmix | alpha=0.2 | max 40 epoch,15,0.6892471626848921,83.3605220228385
Cutmix | alpha=0.2 | max 40 epoch,16,0.6806572075074604,83.75670006991378
Cutmix | alpha=0.2 | max 40 epoch,17,0.6643807864000235,83.96644138895363
Cutmix | alpha=0.2 | max 40 epoch,18,0.6434153320349838,84.08296434397576
Cutmix | alpha=0.2 | max 40 epoch,19,0.6554328384057149,84.16453041249126
Cutmix | alpha=0.2 | max 40 epoch,20,0.6304027001025987,84.32766254952226
Cutmix | alpha=0.2 | max 40 epoch,21,0.6376875355732077,84.09461663947798
Cutmix | alpha=0.2 | max 40 epoch,22,0.6126205184831399,84.07131204847354
Cutmix | alpha=0.2 | max 40 epoch,23,0.6208785134119132,84.68888371009089
Cutmix | alpha=0.2 | max 40 epoch,24,0.6046492524342614,84.30435795851783
Cutmix | alpha=0.2 | max 40 epoch,25,0.5746121564283151,84.75879748310417
Cutmix | alpha=0.2 | max 40 epoch,26,0.5760600240920646,84.79375436961081
Cutmix | alpha=0.2 | max 40 epoch,27,0.5839801114135009,85.06175716616174
Cutmix | alpha=0.2 | max 40 epoch,28,0.5835211810268908,84.98019109764624
Cutmix | alpha=0.2 | max 40 epoch,29,0.5746715726954652,85.03845257515731
Cutmix | alpha=0.2 | max 40 epoch,30,0.5718007990458828,85.06175716616174
Cutmix | alpha=0.2 | max 40 epoch,31,0.5648729262083068,84.95688650664181
Cutmix | alpha=0.2 | max 40 epoch,32,0.578746442131106,85.14332323467723
Cutmix | alpha=0.2 | max 40 epoch,33,0.572163710058555,85.14332323467723
Cutmix | alpha=0.2 | max 40 epoch,34,0.566743649745482,85.12001864367281
Cutmix | alpha=0.2 | max 40 epoch,35,0.5569644062162362,85.32975996271266
Cutmix | alpha=0.2 | max 40 epoch,36,0.5524541650846881,85.02680027965509
Cutmix | alpha=0.2 | max 40 epoch,37,0.5511472710457973,85.12001864367281
Cutmix | alpha=0.2 | max 40 epoch,38,0.5471740736949696,85.38802144022372
Cutmix | alpha=0.2 | max 40 epoch,39,0.5645810536600943,84.94523421113959
Cutmix | alpha=0.2 | max 40 epoch,40,0.5873659629695095,84.75879748310417
