experiment,epoch,seed,mix_alpha,mix_probability,augmentation,batch_mix,train_loss,train_accuracy,mixed_batches,total_batches,actual_mix_ratio,val_loss,val_accuracy
rotationaug_cutmix_alpha0.2_p0.5,1,42,0.2,0.5,rotationaug,cutmix,4.557266365390834,9.92186416964477,372,750,0.496,4.056253665812059,34.08296434397576
rotationaug_cutmix_alpha0.2_p0.5,2,42,0.2,0.5,rotationaug,cutmix,3.9061654557544285,34.94239450330369,362,750,0.4826666666666667,3.0423292959244814,57.78373339547891
rotationaug_cutmix_alpha0.2_p0.5,3,42,0.2,0.5,rotationaug,cutmix,3.2533226312051355,48.071686646169354,362,750,0.4826666666666667,2.204444137216309,67.01235143323235
rotationaug_cutmix_alpha0.2_p0.5,4,42,0.2,0.5,rotationaug,cutmix,2.7484317371141396,54.70164590569517,375,750,0.5,1.6676371010609425,72.58214868329061
rotationaug_cutmix_alpha0.2_p0.5,5,42,0.2,0.5,rotationaug,cutmix,2.37615766551499,59.43922699648494,363,750,0.484,1.3347546573397553,75.26217664879981
rotationaug_cutmix_alpha0.2_p0.5,6,42,0.2,0.5,rotationaug,cutmix,2.175702801901691,60.581495924809744,390,750,0.52,1.0998652231107084,77.60428804474482
rotationaug_cutmix_alpha0.2_p0.5,7,42,0.2,0.5,rotationaug,cutmix,1.9578209358923713,63.686733018162506,370,750,0.49333333333333335,0.9619356194622615,79.74831041715218
rotationaug_cutmix_alpha0.2_p0.5,8,42,0.2,0.5,rotationaug,cutmix,1.8680594436803208,64.37173388379355,379,750,0.5053333333333333,0.8651202912376189,80.71545094383593
rotationaug_cutmix_alpha0.2_p0.5,9,42,0.2,0.5,rotationaug,cutmix,1.7129318633463446,66.78880621924446,374,750,0.49866666666666665,0.7770884424149365,81.8573759030529
rotationaug_cutmix_alpha0.2_p0.5,10,42,0.2,0.5,rotationaug,cutmix,1.6965207363649455,66.9924604183073,391,750,0.5213333333333333,0.7430118634772451,82.24190165462596
rotationaug_cutmix_alpha0.2_p0.5,11,42,0.2,0.5,rotationaug,cutmix,1.5542348116154392,69.41877177765174,363,750,0.484,0.7035381211820001,82.78955954323001
rotationaug_cutmix_alpha0.2_p0.5,12,42,0.2,0.5,rotationaug,cutmix,1.5382462433724229,70.20224465822957,366,750,0.488,0.6740107769956124,83.12747611279423
rotationaug_cutmix_alpha0.2_p0.5,13,42,0.2,0.5,rotationaug,cutmix,1.512898322651239,70.16948682029486,392,750,0.5226666666666666,0.6535385726382198,83.16243299930086
rotationaug_cutmix_alpha0.2_p0.5,14,42,0.2,0.5,rotationaug,cutmix,1.4687695964651717,70.4844913565526,382,750,0.5093333333333333,0.6331067330713346,84.23444418550454
